2,76.3
3,90
4,90
5,90
6,25
7,81.3
8,80
9,96.3
11,97.5
12,95
13,72.5
14,73.8
15,67.5
16,61.3
17,58.8
18,68.8
19,70
20,58.8
21,61.4
23,75
27,63.8
30,85
31,83.3
34,65.8
35,92.5
37,88.8
38,40
,74.38888889
